-0.225747, 0.973015, 6.1249, 1.41176, 8.9427, -38.5449
-0.208933, 0.976738, 6.14849, 1.30595, 8.27725, -38.6953
-0.192056, 0.98017, 6.17026, 1.19974, 7.60923, -38.8341
-0.175123, 0.983312, 6.19018, 1.09317, 6.93886, -38.9615
-0.158138, 0.98616, 6.20827, 0.98627, 6.26632, -39.0773
-0.141105, 0.988716, 6.22452, 0.879067, 5.59181, -39.1816
-0.124031, 0.990977, 6.23891, 0.771593, 4.91555, -39.2741
-0.106919, 0.992944, 6.25145, 0.663882, 4.23772, -39.3551
-0.0897761, 0.994615, 6.26213, 0.555965, 3.55852, -39.4243
-0.0726062, 0.99599, 6.27095, 0.447874, 2.87816, -39.4818
-0.0554147, 0.997069, 6.2779, 0.339642, 2.19685, -39.5276
-0.0382068, 0.997851, 6.28298, 0.231301, 1.51478, -39.5616
-0.0209874, 0.998336, 6.2862, 0.122883, 0.832147, -39.5839
-0.00376183, 0.998525, 6.28754, 0.0144193, 0.149167, -39.5943
0.0134649, 0.998415, 6.28702, -0.0940565, -0.533961, -39.593
0.0306876, 0.998009, 6.28462, -0.202513, -1.21703, -39.5799
0.0479011, 0.997306, 6.28035, -0.310917, -1.89985, -39.5551
0.0651004, 0.996306, 6.27421, -0.419237, -2.5822, -39.5184
0.0822804, 0.995009, 6.2662, -0.52744, -3.26389, -39.4699
0.0994358, 0.993415, 6.25632, -0.635494, -3.94471, -39.4097
0.116562, 0.991526, 6.24459, -0.743367, -4.62446, -39.3378
0.133653, 0.989342, 6.23099, -0.851028, -5.30293, -39.2541
0.150704, 0.986863, 6.21553, -0.958442, -5.97993, -39.1587
0.16771, 0.98409, 6.19822, -1.06558, -6.65524, -39.0516
0.184667, 0.981024, 6.17907, -1.17241, -7.32868, -38.9329
0.201568, 0.977666, 6.15807, -1.27889, -8.00003, -38.8025
0.21841, 0.974017, 6.13523, -1.38501, -8.66909, -38.6606
0.235186, 0.970077, 6.11057, -1.49072, -9.33567, -38.507
0.251892, 0.965849, 6.08408, -1.59599, -9.99956, -38.342
0.268523, 0.961332, 6.05578, -1.7008, -10.6606, -38.1655
0.285075, 0.956529, 6.02567, -1.8051, -11.3185, -37.9776
0.301541, 0.951441, 5.99377, -1.90888, -11.9731, -37.7784
0.317917, 0.94607, 5.96007, -2.01209, -12.6243, -37.5678
0.334199, 0.940416, 5.9246, -2.11471, -13.2718, -37.346
0.350381, 0.934482, 5.88735, -2.21671, -13.9154, -37.113
0.366458, 0.92827, 5.84835, -2.31806, -14.555, -36.8689
0.382426, 0.92178, 5.80761, -2.41872, -15.1903, -36.6138
0.398281, 0.915016, 5.76513, -2.51866, -15.8211, -36.3477
0.414016, 0.907979, 5.72092, -2.61787, -16.4473, -36.0706
0.429628, 0.900672, 5.67501, -2.7163, -17.0687, -35.7828
0.445112, 0.893096, 5.6274, -2.81392, -17.6851, -35.4843
0.460463, 0.885253, 5.57811, -2.91072, -18.2963, -35.1751
0.475677, 0.877147, 5.52716, -3.00665, -18.902, -34.8553
0.490749, 0.868778, 5.47455, -3.10169, -19.5023, -34.5251
0.505675, 0.860151, 5.4203, -3.19581, -20.0967, -34.1845
0.520449, 0.851267, 5.36444, -3.28899, -20.6853, -33.8336
0.535069, 0.842129, 5.30697, -3.38119, -21.2677, -33.4726
0.549529, 0.83274, 5.24791, -3.47239, -21.8438, -33.1015
0.563825, 0.823102, 5.18728, -3.56255, -22.4135, -32.7205
0.577952, 0.813219, 5.12511, -3.65166, -22.9766, -32.3296
0.591907, 0.803093, 5.06139, -3.73969, -23.5328, -31.9291
